"year","month","SPY","TA125","Dollar"
2016,12,223.529999,1282.410034,3.845
2017,1,227.529999,1242.959961,3.769
2017,2,236.470001,1265.609985,3.659
2017,3,235.740005,1251.280029,3.632
2017,4,238.080002,1271.98999,3.619
2017,5,241.440002,1301.390015,3.561
2017,6,241.800003,1287.72998,3.496
2017,7,246.770004,1296.869995,3.558
2017,8,247.490005,1271.660034,3.596
2017,9,251.229996,1290.98999,3.529
2017,10,257.149994,1313.900024,3.521
2017,11,265.01001,1329.640015,3.499
2017,12,266.859985,1365.630005,3.467
2018,1,281.899994,1407.579956,3.405
2018,2,271.649994,1361.670044,3.485
2018,3,263.149994,1310.829956,3.514
2018,4,264.51001,1327.72998,3.588
2018,5,270.940002,1364.949951,3.566
2018,6,271.279999,1364.050049,3.65
2018,7,281.329987,1408.930054,3.664
2018,8,290.309998,1492.810059,3.604
2018,9,290.720001,1483.880005,3.627
2018,10,270.630005,1434.22998,3.721
2018,11,275.649994,1470.640015,3.701
2018,12,249.919998,1333.170044,3.748
2019,1,269.929993,1409.790039,3.642
2019,2,278.679993,1430.579956,3.604
2019,3,282.480011,1405.030029,3.632
2019,4,294.019989,1470.060059,3.608
2019,5,275.269989,1434.790039,3.634
2019,6,293,1468.150024,3.566
2019,7,297.429993,1511.650024,3.499
2019,8,292.450012,1478.48999,3.535
2019,9,296.769989,1532.52002,3.482
2019,10,303.329987,1575.719971,3.529
2019,11,314.309998,1616.709961,3.476
2019,12,321.859985,1614.959961,3.456
2020,1,321.730011,1636.290039,3.448
2020,2,296.26001,1550.050049,3.467
2020,3,257.75,1271.27002,3.565
2020,4,290.480011,1405.900024,3.5
2020,5,304.320007,1410.420044,3.502
2020,6,308.359985,1324.130005,3.466
2020,7,326.519989,1383.640015,3.408
2020,8,349.309998,1420.420044,3.362
2020,9,334.890015,1345.880005,3.441
2020,10,326.540009,1372.619995,3.422
2020,11,362.059998,1512.689941,3.308
2020,12,371.98999,1563.560059,3.21
